Time, Threads, SleepTime, Buffsize, Amount
0,10,1,200,30
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,93
0,10,1,200,18
0,10,1,200,46
0,10,1,200,94
0,10,1,200,88
0,10,1,200,14
0,10,1,200,30
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,93
0,10,1,200,18
0,10,1,200,46
0,10,1,200,94
0,10,1,200,88
0,10,1,200,14
16,10,1,200,30
16,10,1,200,18
16,10,1,200,91
16,10,1,200,55
16,10,1,200,93
16,10,1,200,46
16,10,1,200,18
16,10,1,200,94
16,10,1,200,88
0,10,1,200,30
16,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,93
0,10,1,200,46
0,10,1,200,18
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,93
0,10,1,200,18
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,93
0,10,1,200,18
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,18
0,10,1,200,93
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,18
0,10,1,200,93
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,18
0,10,1,200,93
0,10,1,200,94
0,10,1,200,88
0,10,1,200,30
0,10,1,200,14
0,10,1,200,18
0,10,1,200,91
0,10,1,200,55
0,10,1,200,46
0,10,1,200,18
0,10,1,200,93
0,10,1,200,94
0,10,1,200,88
0,10,1,200,14
16,20,1,200,12
16,20,1,200,69
0,20,1,200,69
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,2
0,20,1,200,57
0,20,1,200,27
0,20,1,200,55
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,42
0,20,1,200,27
0,20,1,200,63
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,2
0,20,1,200,27
0,20,1,200,55
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,42
0,20,1,200,63
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,2
0,20,1,200,55
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,42
0,20,1,200,63
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,2
0,20,1,200,55
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,42
0,20,1,200,63
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,55
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,63
0,20,1,200,42
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,55
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,63
0,20,1,200,42
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,55
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,63
0,20,1,200,42
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,27
0,20,1,200,55
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,63
0,20,1,200,42
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,55
0,20,1,200,27
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,12
0,20,1,200,91
0,20,1,200,69
0,20,1,200,69
0,20,1,200,63
0,20,1,200,42
0,20,1,200,27
0,20,1,200,24
0,20,1,200,13
0,20,1,200,30
0,20,1,200,84
0,20,1,200,84
0,20,1,200,57
0,20,1,200,55
0,20,1,200,27
0,20,1,200,2
0,20,1,200,87
0,20,1,200,69
0,20,1,200,53
0,20,1,200,94
0,20,1,200,91
0,20,1,200,63
0,20,1,200,42
1,30,1,200,23
1,30,1,200,27
1,30,1,200,36
1,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
1,30,1,200,70
1,30,1,200,26
1,30,1,200,50
1,30,1,200,94
1,30,1,200,28
1,30,1,200,68
2,30,1,200,6
2,30,1,200,91
2,30,1,200,88
2,30,1,200,62
2,30,1,200,69
3,30,1,200,39
3,30,1,200,27
3,30,1,200,28
3,30,1,200,15
2,30,1,200,56
2,30,1,200,79
2,30,1,200,10
2,30,1,200,95
2,30,1,200,63
2,30,1,200,90
2,30,1,200,74
2,30,1,200,23
2,30,1,200,27
2,30,1,200,36
2,30,1,200,96
2,30,1,200,72
2,30,1,200,33
2,30,1,200,34
2,30,1,200,70
2,30,1,200,50
2,30,1,200,26
2,30,1,200,94
2,30,1,200,28
2,30,1,200,68
1,30,1,200,6
1,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
0,30,1,200,69
0,30,1,200,39
0,30,1,200,27
1,30,1,200,28
1,30,1,200,15
1,30,1,200,56
1,30,1,200,79
1,30,1,200,10
1,30,1,200,95
1,30,1,200,63
1,30,1,200,90
1,30,1,200,74
1,30,1,200,27
1,30,1,200,23
1,30,1,200,36
1,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
1,30,1,200,70
1,30,1,200,50
1,30,1,200,26
1,30,1,200,94
1,30,1,200,28
1,30,1,200,68
1,30,1,200,6
1,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
1,30,1,200,69
1,30,1,200,39
1,30,1,200,27
0,30,1,200,28
0,30,1,200,15
0,30,1,200,56
1,30,1,200,79
1,30,1,200,10
1,30,1,200,95
1,30,1,200,63
1,30,1,200,90
1,30,1,200,74
1,30,1,200,27
1,30,1,200,23
1,30,1,200,36
1,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
1,30,1,200,70
1,30,1,200,50
1,30,1,200,26
1,30,1,200,94
1,30,1,200,28
1,30,1,200,68
1,30,1,200,6
1,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
1,30,1,200,69
1,30,1,200,39
1,30,1,200,27
1,30,1,200,28
1,30,1,200,15
0,30,1,200,56
0,30,1,200,79
0,30,1,200,10
0,30,1,200,95
0,30,1,200,63
0,30,1,200,90
0,30,1,200,74
0,30,1,200,27
0,30,1,200,23
0,30,1,200,36
0,30,1,200,96
0,30,1,200,72
0,30,1,200,33
0,30,1,200,34
0,30,1,200,70
0,30,1,200,50
0,30,1,200,26
0,30,1,200,94
0,30,1,200,28
0,30,1,200,68
0,30,1,200,6
0,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
1,30,1,200,69
1,30,1,200,39
1,30,1,200,27
1,30,1,200,28
1,30,1,200,15
1,30,1,200,56
1,30,1,200,79
1,30,1,200,10
1,30,1,200,95
1,30,1,200,63
1,30,1,200,90
1,30,1,200,74
1,30,1,200,27
1,30,1,200,23
1,30,1,200,36
1,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
1,30,1,200,70
1,30,1,200,50
1,30,1,200,26
1,30,1,200,94
1,30,1,200,28
1,30,1,200,6
1,30,1,200,68
1,30,1,200,91
0,30,1,200,88
0,30,1,200,62
0,30,1,200,98
0,30,1,200,69
0,30,1,200,39
0,30,1,200,27
0,30,1,200,28
0,30,1,200,15
0,30,1,200,56
0,30,1,200,79
0,30,1,200,10
0,30,1,200,95
0,30,1,200,63
0,30,1,200,90
0,30,1,200,74
0,30,1,200,27
0,30,1,200,23
0,30,1,200,36
0,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
1,30,1,200,70
1,30,1,200,50
1,30,1,200,26
1,30,1,200,94
1,30,1,200,28
1,30,1,200,6
1,30,1,200,68
1,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
1,30,1,200,69
1,30,1,200,27
1,30,1,200,39
1,30,1,200,28
1,30,1,200,15
1,30,1,200,56
1,30,1,200,79
1,30,1,200,10
1,30,1,200,95
1,30,1,200,63
1,30,1,200,90
1,30,1,200,74
1,30,1,200,27
1,30,1,200,23
1,30,1,200,36
1,30,1,200,96
0,30,1,200,72
0,30,1,200,33
0,30,1,200,34
1,30,1,200,70
1,30,1,200,50
1,30,1,200,26
1,30,1,200,94
1,30,1,200,28
1,30,1,200,6
1,30,1,200,68
1,30,1,200,91
1,30,1,200,88
1,30,1,200,62
1,30,1,200,98
1,30,1,200,69
1,30,1,200,27
1,30,1,200,39
1,30,1,200,28
1,30,1,200,15
1,30,1,200,56
1,30,1,200,79
1,30,1,200,10
1,30,1,200,95
1,30,1,200,63
1,30,1,200,90
1,30,1,200,74
1,30,1,200,27
1,30,1,200,23
1,30,1,200,36
1,30,1,200,96
1,30,1,200,72
1,30,1,200,33
1,30,1,200,34
0,30,1,200,70
0,30,1,200,50
0,30,1,200,26
0,30,1,200,94
0,30,1,200,6
0,30,1,200,28
0,30,1,200,68
0,30,1,200,91
0,30,1,200,88
0,30,1,200,62
0,30,1,200,98
0,30,1,200,27
0,30,1,200,69
0,30,1,200,39
1,30,1,200,28
2,30,1,200,15
2,30,1,200,56
2,30,1,200,79
2,30,1,200,10
2,30,1,200,95
2,30,1,200,63
2,30,1,200,90
2,30,1,200,27
2,30,1,200,74
2,30,1,200,23
2,30,1,200,36
2,30,1,200,96
2,30,1,200,72
2,30,1,200,33
2,30,1,200,34
2,30,1,200,70
2,30,1,200,50
2,30,1,200,26
2,30,1,200,94
2,30,1,200,6
2,30,1,200,28
2,30,1,200,68
2,30,1,200,91
2,30,1,200,88
2,30,1,200,62
2,30,1,200,98
2,30,1,200,27
2,30,1,200,69
1,30,1,200,39
0,30,1,200,28
0,30,1,200,56
0,30,1,200,15
0,30,1,200,79
0,30,1,200,10
0,30,1,200,95
0,30,1,200,63
0,30,1,200,90
0,30,1,200,74
0,30,1,200,98
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,84
0,40,1,200,98
0,40,1,200,23
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
0,40,1,200,68
0,40,1,200,18
0,40,1,200,28
0,40,1,200,42
0,40,1,200,63
0,40,1,200,21
0,40,1,200,23
0,40,1,200,50
0,40,1,200,49
0,40,1,200,40
0,40,1,200,4
0,40,1,200,3
0,40,1,200,7
0,40,1,200,74
0,40,1,200,97
0,40,1,200,28
0,40,1,200,61
0,40,1,200,26
0,40,1,200,58
0,40,1,200,85
0,40,1,200,89
0,40,1,200,0
0,40,1,200,93
0,40,1,200,30
0,40,1,200,25
0,40,1,200,66
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,87
0,40,1,200,84
0,40,1,200,28
0,40,1,200,98
0,40,1,200,23
0,40,1,200,64
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
0,40,1,200,68
0,40,1,200,18
0,40,1,200,28
0,40,1,200,42
0,40,1,200,63
0,40,1,200,21
0,40,1,200,23
0,40,1,200,50
0,40,1,200,49
0,40,1,200,40
0,40,1,200,4
0,40,1,200,3
0,40,1,200,7
0,40,1,200,74
0,40,1,200,97
0,40,1,200,28
0,40,1,200,61
0,40,1,200,26
0,40,1,200,58
0,40,1,200,85
0,40,1,200,89
0,40,1,200,0
0,40,1,200,93
15,40,1,200,30
15,40,1,200,25
15,40,1,200,66
15,40,1,200,6
15,40,1,200,55
15,40,1,200,96
15,40,1,200,87
15,40,1,200,84
15,40,1,200,28
15,40,1,200,98
15,40,1,200,23
15,40,1,200,64
15,40,1,200,23
15,40,1,200,93
15,40,1,200,50
15,40,1,200,20
15,40,1,200,68
15,40,1,200,18
15,40,1,200,28
15,40,1,200,42
15,40,1,200,63
15,40,1,200,21
15,40,1,200,23
15,40,1,200,50
15,40,1,200,49
15,40,1,200,40
15,40,1,200,4
15,40,1,200,3
15,40,1,200,7
15,40,1,200,74
15,40,1,200,76
15,40,1,200,97
15,40,1,200,28
15,40,1,200,61
15,40,1,200,26
15,40,1,200,58
15,40,1,200,85
15,40,1,200,89
15,40,1,200,0
0,40,1,200,93
0,40,1,200,30
0,40,1,200,25
0,40,1,200,66
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,87
0,40,1,200,84
0,40,1,200,28
0,40,1,200,98
0,40,1,200,23
0,40,1,200,64
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
0,40,1,200,18
0,40,1,200,68
0,40,1,200,28
0,40,1,200,42
0,40,1,200,21
0,40,1,200,63
0,40,1,200,23
0,40,1,200,50
0,40,1,200,49
0,40,1,200,40
0,40,1,200,4
0,40,1,200,3
0,40,1,200,7
0,40,1,200,74
0,40,1,200,76
0,40,1,200,97
0,40,1,200,28
0,40,1,200,61
0,40,1,200,26
0,40,1,200,58
0,40,1,200,85
0,40,1,200,89
0,40,1,200,0
0,40,1,200,93
0,40,1,200,30
0,40,1,200,25
0,40,1,200,66
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,87
0,40,1,200,84
0,40,1,200,28
0,40,1,200,98
0,40,1,200,23
0,40,1,200,64
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
0,40,1,200,18
0,40,1,200,68
0,40,1,200,28
0,40,1,200,42
0,40,1,200,21
0,40,1,200,63
0,40,1,200,23
0,40,1,200,50
0,40,1,200,49
0,40,1,200,40
0,40,1,200,4
0,40,1,200,3
0,40,1,200,7
0,40,1,200,74
0,40,1,200,76
0,40,1,200,97
0,40,1,200,28
0,40,1,200,61
0,40,1,200,26
0,40,1,200,58
0,40,1,200,85
0,40,1,200,89
0,40,1,200,0
0,40,1,200,93
0,40,1,200,30
0,40,1,200,25
0,40,1,200,66
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,87
0,40,1,200,84
0,40,1,200,28
0,40,1,200,98
0,40,1,200,23
0,40,1,200,64
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
0,40,1,200,18
0,40,1,200,68
0,40,1,200,28
0,40,1,200,42
0,40,1,200,21
0,40,1,200,63
0,40,1,200,23
0,40,1,200,50
0,40,1,200,49
0,40,1,200,40
0,40,1,200,4
0,40,1,200,3
0,40,1,200,7
0,40,1,200,74
0,40,1,200,76
0,40,1,200,97
0,40,1,200,28
0,40,1,200,61
0,40,1,200,26
0,40,1,200,58
0,40,1,200,85
0,40,1,200,89
0,40,1,200,0
0,40,1,200,93
0,40,1,200,30
0,40,1,200,25
0,40,1,200,66
0,40,1,200,6
0,40,1,200,55
0,40,1,200,96
0,40,1,200,87
0,40,1,200,84
0,40,1,200,28
0,40,1,200,98
0,40,1,200,23
0,40,1,200,64
0,40,1,200,23
0,40,1,200,93
0,40,1,200,50
0,40,1,200,20
